,'station',date,storage
0,ORO,01-01,1855192.34375
1,ORO,01-02,1865575.4193548388
2,ORO,01-03,1899404.6129032257
3,ORO,01-04,1897590.0322580645
4,ORO,01-05,1913397.0625
5,ORO,01-06,1875064.6363636365
6,ORO,01-07,1915680.71875
7,ORO,01-08,1866246.875
8,ORO,01-09,1876033.09375
9,ORO,01-10,1927589.322580645
10,ORO,01-11,1937326.2903225806
11,ORO,01-12,1904963.0
12,ORO,01-13,1915302.25
13,ORO,01-14,1925685.0
14,ORO,01-15,1932954.6875
15,ORO,01-16,1939568.03125
16,ORO,01-17,1985415.2580645161
17,ORO,01-18,1992114.8064516129
18,ORO,01-19,1998927.9677419355
19,ORO,01-20,1988726.3636363635
20,ORO,01-21,2015074.8709677418
21,ORO,01-22,2023331.9677419355
22,ORO,01-23,2031219.1612903227
23,ORO,01-24,2036967.7096774194
24,ORO,01-25,2043874.7741935484
25,ORO,01-26,2051580.2580645161
26,ORO,01-27,2057610.3870967743
27,ORO,01-28,2062980.1935483871
28,ORO,01-29,2067594.7096774194
29,ORO,01-30,2072357.935483871
30,ORO,01-31,2074578.935483871
31,ORO,02-01,2077638.7741935484
32,ORO,02-02,2080668.7419354839
33,ORO,02-03,2084893.677419355
34,ORO,02-04,2090221.1612903227
35,ORO,02-05,2075890.8
36,ORO,02-06,2079474.2666666666
37,ORO,02-07,2107502.7419354836
38,ORO,02-08,2116367.7419354836
39,ORO,02-09,2131612.806451613
40,ORO,02-10,2142096.419354839
41,ORO,02-11,2148474.1612903224
42,ORO,02-12,2150477.129032258
43,ORO,02-13,2122964.65625
44,ORO,02-14,2124976.59375
45,ORO,02-15,2151361.290322581
46,ORO,02-16,2151548.35483871
47,ORO,02-17,2155102.709677419
48,ORO,02-18,2134995.125
49,ORO,02-19,2144207.5
50,ORO,02-20,2169938.1612903224
51,ORO,02-21,2177684.419354839
52,ORO,02-22,2210181.3666666667
53,ORO,02-23,2215555.2666666666
54,ORO,02-24,2190994.2258064514
55,ORO,02-25,2194870.2258064514
56,ORO,02-26,2197536.6774193547
57,ORO,02-27,2203569.935483871
58,ORO,02-28,2210688.8387096776
59,ORO,02-29,2302453.375
60,ORO,03-01,2245766.5
61,ORO,03-02,2252774.966666667
62,ORO,03-03,2241648.4516129033
