,'station',date,storage
2,ORO,1985-04-01,1506900
3,ORO,1985-05-01,1759200
5,ORO,1985-07-01,1206000
6,ORO,1985-08-01,906000
8,ORO,1985-10-01,627700
10,ORO,1985-12-01,511600
11,ORO,1986-01-01,601900
29,ORO,1987-07-01,2648259
31,ORO,1987-09-01,2043694
32,ORO,1987-10-01,1977280
33,ORO,1987-11-01,1982212
34,ORO,1987-12-01,2074127
35,ORO,1988-01-01,2399883
36,ORO,1988-02-01,2650578
37,ORO,1988-03-01,2701689
38,ORO,1988-04-01,2646327
39,ORO,1988-05-01,2559024
40,ORO,1988-06-01,2472282
41,ORO,1988-07-01,2222121
42,ORO,1988-08-01,1852337
43,ORO,1988-09-01,1636496
44,ORO,1988-10-01,1531699
45,ORO,1988-11-01,1503957
46,ORO,1988-12-01,1606353
47,ORO,1989-01-01,1671870
48,ORO,1989-02-01,1699859
49,ORO,1989-03-01,1721614
50,ORO,1989-04-01,2890050
51,ORO,1989-05-01,3345754
52,ORO,1989-06-01,3273423
53,ORO,1989-07-01,3075008
54,ORO,1989-08-01,2611849
55,ORO,1989-09-01,2277613
56,ORO,1989-10-01,2160316
57,ORO,1989-11-01,2143723
58,ORO,1989-12-01,2118617
59,ORO,1990-01-01,1883429
60,ORO,1990-02-01,1892148
61,ORO,1990-03-01,1935149
62,ORO,1990-04-01,2096999
63,ORO,1990-05-01,1837677
64,ORO,1990-06-01,1736387
65,ORO,1990-07-01,1690837
66,ORO,1990-08-01,1439684
67,ORO,1990-09-01,1188782
68,ORO,1990-10-01,1162392
69,ORO,1990-11-01,1169640
70,ORO,1990-12-01,1156400
71,ORO,1991-01-01,983676
72,ORO,1991-02-01,920900
73,ORO,1991-03-01,940037
74,ORO,1991-04-01,1331037
75,ORO,1991-05-01,1602285
76,ORO,1991-06-01,1687463
77,ORO,1991-07-01,1560055
78,ORO,1991-08-01,1447496
79,ORO,1991-09-01,1392300
80,ORO,1991-10-01,1397197
81,ORO,1991-11-01,1353249
82,ORO,1991-12-01,1333502
83,ORO,1992-01-01,1268347
84,ORO,1992-02-01,1279298
85,ORO,1992-03-01,1552269
86,ORO,1992-04-01,1783274
87,ORO,1992-05-01,2020282
88,ORO,1992-06-01,1870604
89,ORO,1992-07-01,1739735
90,ORO,1992-08-01,1562628
91,ORO,1992-09-01,1401554
92,ORO,1992-10-01,1314818
93,ORO,1992-11-01,1308525
94,ORO,1992-12-01,1286194
95,ORO,1993-01-01,1422235
96,ORO,1993-02-01,2012200
97,ORO,1993-03-01,2518749
98,ORO,1993-04-01,2943773
99,ORO,1993-05-01,3298609
100,ORO,1993-06-01,3516916
101,ORO,1993-07-01,3482256
102,ORO,1993-08-01,3102117
103,ORO,1993-09-01,2698688
104,ORO,1993-10-01,2664913
105,ORO,1993-11-01,2650965
106,ORO,1993-12-01,2618617
107,ORO,1994-01-01,2428119
108,ORO,1994-02-01,2411077
109,ORO,1994-03-01,2494080
110,ORO,1994-04-01,2632703
111,ORO,1994-05-01,2631292
112,ORO,1994-06-01,2521485
113,ORO,1994-07-01,2302500
114,ORO,1994-08-01,2021452
115,ORO,1994-09-01,1801146
116,ORO,1994-10-01,1686994
117,ORO,1994-11-01,1579730
118,ORO,1994-12-01,1567602
119,ORO,1995-01-01,1683812
120,ORO,1995-02-01,2725521
121,ORO,1995-03-01,2650314
122,ORO,1995-04-01,2787211
123,ORO,1995-05-01,3243762
124,ORO,1995-06-01,3456844
125,ORO,1995-07-01,3507004
126,ORO,1995-08-01,3424004
127,ORO,1995-09-01,3171294
128,ORO,1995-10-01,2897176
129,ORO,1995-11-01,2799240
130,ORO,1995-12-01,2775890
131,ORO,1996-01-01,2708225
132,ORO,1996-02-01,2736310
133,ORO,1996-03-01,2721586
134,ORO,1996-04-01,3005654
135,ORO,1996-05-01,3248072
136,ORO,1996-06-01,3505120
137,ORO,1996-07-01,3428634
138,ORO,1996-08-01,3040123
139,ORO,1996-09-01,2749106
140,ORO,1996-10-01,2735519
141,ORO,1996-11-01,2678785
142,ORO,1996-12-01,2723161
143,ORO,1997-01-01,3226289
144,ORO,1997-02-01,2841348
145,ORO,1997-03-01,2672806
146,ORO,1997-04-01,2969508
147,ORO,1997-05-01,3225401
148,ORO,1997-06-01,3194592
149,ORO,1997-07-01,2950577
150,ORO,1997-08-01,2421133
151,ORO,1997-09-01,2204628
152,ORO,1997-10-01,2131199
153,ORO,1997-11-01,2035864
154,ORO,1997-12-01,2057573
155,ORO,1998-01-01,2232624
156,ORO,1998-02-01,2678136
157,ORO,1998-03-01,2706134
158,ORO,1998-04-01,2812242
159,ORO,1998-05-01,3045801
160,ORO,1998-06-01,3312155
161,ORO,1998-07-01,3509675
162,ORO,1998-08-01,3341649
163,ORO,1998-09-01,3046369
164,ORO,1998-10-01,2819230
165,ORO,1998-11-01,2724342
166,ORO,1998-12-01,2904037
167,ORO,1999-01-01,2692044
168,ORO,1999-02-01,2762475
169,ORO,1999-03-01,2810497
170,ORO,1999-04-01,2950716
171,ORO,1999-05-01,3261770
172,ORO,1999-06-01,3455135
173,ORO,1999-07-01,3404584
174,ORO,1999-08-01,2852178
175,ORO,1999-09-01,2570104
176,ORO,1999-10-01,2422221
177,ORO,1999-11-01,2293426
178,ORO,1999-12-01,2285516
179,ORO,2000-01-01,2182059
180,ORO,2000-02-01,2351935
181,ORO,2000-03-01,2766986
182,ORO,2000-04-01,2853267
183,ORO,2000-05-01,3102411
184,ORO,2000-06-01,3125205
185,ORO,2000-07-01,2858016
186,ORO,2000-08-01,2397152
187,ORO,2000-09-01,2023685
188,ORO,2000-10-01,1923917
189,ORO,2000-11-01,1828346
190,ORO,2000-12-01,1752778
191,ORO,2001-01-01,1725125
192,ORO,2001-02-01,1736196
193,ORO,2001-03-01,1842853
194,ORO,2001-04-01,2062755
195,ORO,2001-05-01,2190505
