,Dam_ABBR,Date,RES ELE,STORAGE
0,CLE,2018-02-18,2325.77,1788092
1,LEW,2018-02-18,1901.44,14240
2,LPY,2018-02-18,1885.70,32931
3,VAR,2018-02-18,1505.68,207
4,COY,2018-02-18,734.03,62706
5,WRS,2018-02-18,435.10,205320
6,DLV,2018-02-18,680.16,25866
7,CVE,2018-02-18,683.17,
8,CCH,2018-02-18,701.88,75221
9,PYM,2018-02-18,2574.39,165282
10,CAS,2018-02-18,1484.87,260404
11,PRR,2018-02-18,1562.49,73522
12,PRA,2018-02-18,471.88,
13,SHA,2018-02-18,1024.23,3389718
14,SPC,2018-02-18,720.74,1213
15,KES,2018-02-18,582.59,21038
16,WHI,2018-02-18,1198.43,205476
17,BLB,2018-02-18,443.86,39296
18,ANT,2018-02-18,4996.28,17598
19,DAV,2018-02-18,5771.11,69487
20,FRD,2018-02-18,5580.42,44291
21,TAB,2018-02-18,132.92,42538
22,BUL,2018-02-18,1912.26,770775
23,ENG,2018-02-18,522.09,66047
24,CFW,2018-02-18,299.70,
25,GLL,2018-02-18,5224.58,547
26,BIL,2018-02-18,6427.37,575
27,LON,2018-02-18,6386.42,40090
28,RBL,2018-02-18,6534.56,484
29,UNV,2018-02-18,4832.12,170865
30,JNC,2018-02-18,4450.70,2654
31,CMI,2018-02-18,2902.66,346
32,ICH,2018-02-18,5425.00,28221
33,BHC,2018-02-18,2907.97,1211
34,SLB,2018-02-18,1843.10,11707
35,CPL,2018-02-18,,13830
36,FOL,2018-02-18,423.06,553410
37,SIV,2018-02-18,,1961
38,NAT,2018-02-18,123.05,7815
39,PAR,2018-02-18,558.04,183083
40,CMN,2018-02-18,220.04,309015
41,NHG,2018-02-18,668.44,158603
42,FRM,2018-02-18,124.74,197
43,DON,2018-02-18,,11669
44,BRD,2018-02-18,,37743
45,SWB,2018-02-18,5584.44,9624
46,NML,2018-02-18,1048.67,1960422
47,TUL,2018-02-18,486.97,42620
48,GDW,2018-02-18,360.55,576
49,DNP,2018-02-18,800.99,1680069
50,EXC,2018-02-18,810.15,677158
51,BAR,2018-02-18,344.65,2
52,MAR,2018-02-18,371.09,102
53,OWN,2018-02-18,350.21,1
54,BUC,2018-02-18,547.53,88628
55,HID,2018-02-18,480.53,20953
56,MIL,2018-02-18,537.52,343285
57,SNL,2018-02-18,513.77,1668450
58,PNF,2018-02-18,856.36,523296
59,TRM,2018-02-18,610.98,27763
60,SCC,2018-02-18,604.91,15490
61,ISB,2018-02-18,2560.77,172101
62,STP,2018-02-18,5942.05,204241
63,INP,2018-02-18,6945.06,14586
64,BOC,2018-02-18,5595.62,32240
65,PRS,2018-02-18,5701.88,9225
66,DNN,2018-02-18,5928.29,3336
67,MRT,2018-02-18,5781.50,
