,Dam_ABBR,Date,RES ELE,STORAGE
0,CLE,2018-02-27,2325.59,1785672
1,LEW,2018-02-27,1901.66,14405
2,LPY,2018-02-27,1884.85,31788
3,VAR,2018-02-27,1505.66,206
4,COY,2018-02-27,733.22,61397
5,WRS,2018-02-27,434.56,204058
6,DLV,2018-02-27,680.17,25871
7,CVE,2018-02-27,683.31,
8,CCH,2018-02-27,701.80,75090
9,PYM,2018-02-27,2575.62,166847
10,CAS,2018-02-27,1484.67,260009
11,PRR,2018-02-27,1562.97,74423
12,PRA,2018-02-27,483.36,
13,SHA,2018-02-27,1025.10,3411127
14,SPC,2018-02-27,721.65,1246
15,KES,2018-02-27,580.79,19979
16,WHI,2018-02-27,1198.62,206036
17,BLB,2018-02-27,443.26,38048
18,ANT,2018-02-27,4996.19,17526
19,DAV,2018-02-27,5771.05,69270
20,FRD,2018-02-27,5580.55,44470
21,ORO,2018-02-27,725.30,1458033
22,TAB,2018-02-27,133.24,43759
23,BUL,2018-02-27,1912.07,770009
24,ENG,2018-02-27,523.39,67067
25,CFW,2018-02-27,299.50,
26,GLL,2018-02-27,5224.34,538
27,BIL,2018-02-27,6427.24,568
28,LON,2018-02-27,6386.02,39650
29,RBL,2018-02-27,6534.34,470
30,UNV,2018-02-27,4831.47,169518
31,JNC,2018-02-27,4447.54,2454
32,CMI,2018-02-27,2902.33,342
33,ICH,2018-02-27,5424.94,28188
34,BHC,2018-02-27,2910.17,1254
35,SLB,2018-02-27,1848.41,12763
36,CPL,2018-02-27,,13882
37,FOL,2018-02-27,420.15,529222
38,SIV,2018-02-27,,1923
39,NAT,2018-02-27,123.57,8059
40,INV,2018-02-27,1466.70,231320
41,PAR,2018-02-27,559.21,185520
42,CMN,2018-02-27,219.16,303310
43,NHG,2018-02-27,668.45,158632
44,FRM,2018-02-27,124.63,191
45,DON,2018-02-27,,11220
46,BRD,2018-02-27,,35745
47,SWB,2018-02-27,5581.18,8851
48,NML,2018-02-27,1045.23,1923032
49,TUL,2018-02-27,492.24,47436
50,GDW,2018-02-27,360.64,582
51,CHV,2018-02-27,,47968
52,HTH,2018-02-27,,289095
53,DNP,2018-02-27,800.32,1672350
54,EXC,2018-02-27,810.05,676642
55,BAR,2018-02-27,344.68,2
56,MAR,2018-02-27,371.20,106
57,OWN,2018-02-27,350.22,1
58,BUC,2018-02-27,547.64,88778
59,HID,2018-02-27,481.06,21341
60,MIL,2018-02-27,533.84,329228
61,SNL,2018-02-27,503.22,1544775
62,PNF,2018-02-27,856.70,524712
63,TRM,2018-02-27,613.43,29751
64,SCC,2018-02-27,606.08,16341
65,ISB,2018-02-27,2560.77,172101
66,STP,2018-02-27,5942.08,204435
67,INP,2018-02-27,6945.17,14660
68,BOC,2018-02-27,5593.32,30249
69,PRS,2018-02-27,5701.88,9225
70,DNN,2018-02-27,5928.36,3390
71,MRT,2018-02-27,5781.46,
