,Capacity,Dam Name,Dam_ABBR
0,2447650,Trinity,CLE
1,14660,Lewiston,LEW
2,,,LPY
3,,,VAR
4,122400,Coyote Valley,COY
5,381000,Warm Springs,WRS
6,77100,Del Valle,DLV
7,50500,San Antonio,SAT
8,100000,Calaveras,CVE
9,205000,Cachuma,CCH
10,180000,Pyramid,PYM
11,325000,Castaic,CAS
12,131452,Perris,PRR
13,145600,Seven Oaks,SVO
14,,Prado,PRA
15,800000,Diamond Valley,DMV
16,4552000,Shasta,SHA
17,,,SPC
18,23772,Keswick,KES
19,241100,Whiskeytown,WHI
20,143700,Black Butte Rereg,BLB
21,24800,Indian Ole,MMW
22,1308000,Canyon,ALM
23,49930,Butt Valley,BTV
24,22566,Antelope,ANT
25,103000,Bucks,BCL
26,83000,Grizzly Valley,DAV
27,55477,Frenchman,FRD
28,93010,Little Grass Valley,LGV
29,65050,Sly Creek,SLC
30,3537577,Oroville,ORO
31,57041,Thermalito,TAB
32,966000,New Bullards Bar,BUL
33,70000,Englebright Narrows,ENG
34,104500,Camp Far West,CFW
35,8127,Lake Valley,LVY
36,136400,French Meadows,FMD
37,207600,Lower Hell Hole,HHL
38,,,GLL
39,,,BIL
40,69306,Loon Lake,LON
41,,,RBL
42,266369,Union Valley,UNV
43,,,JNC
44,,,CMI
45,43496,Ice House,ICH
46,,,BHC
47,16600,Slab Creek,SLB
48,22340,Caples,CPL
49,977000,Folsom,FOL
50,8640,Silver,SIV
51,9000,Natoma,NAT
52,300000,Indian Valley,INV
53,313000,Clear Lake Imp,CLA
54,1602000,Montecello,BER
55,141900,Salt Springs,SLS
56,210000,Pardee Reservoir,PAR
57,417120,Camanche,CMN
58,317000,New Hogan,NHG
59,52000,Farmington,FRM
60,190000,Spicer Meadows,SPM
61,64320,Donnells,DON
62,15554,Relief,RLF
63,97800,Beardsley,BRD
64,18312,Main Strawberry,SWB
65,6228,Lyons,LYS
66,2400000,New Melones,NML
67,67000,Tulloch,TUL
68,,,GDW
69,273500,Cherry Valley,CHV
70,360000,O Shanessey,HTH
71,2030000,Don Pedro,DNP
72,1024600,New Exchequer,EXC
73,,,BAR
74,,,MAR
75,,,OWN
76,150000,Buchanan,BUC
77,90000,Hidden,HID
78,520500,Friant,MIL
79,2041000,San Luis,SNL
80,123300,Courtright,CTG
81,128300,Wishon,WSN
82,1000000,Pine Flat,PNF
83,185600,Terminus,TRM
84,82300,Success,SCC
85,568000,Isabella,ISB
86,226500,Stampede,STP
87,17295,Independence,INP
88,40870,Boca,BOC
89,29800,Prosser,PRS
90,9700,Donner,DNN
91,20400,Martis Creek Reservoir,MRT
