,Capacity,Dam Name,Dam_ABBR,Date,RES ELE,STORAGE,Percent%
0,3537577,Oroville,ORO,12/12/2016,740.63,1591740,44.9952043447
1,3537577,Oroville,ORO,12/13/2016,741.74,1601740,45.277883704
2,3537577,Oroville,ORO,12/14/2016,743.55,1618141,45.7415061213
3,3537577,Oroville,ORO,12/15/2016,754.28,1717810,48.558943028
4,3537577,Oroville,ORO,12/16/2016,763.58,1807624,51.097799426
5,3537577,Oroville,ORO,12/17/2016,767.19,1843351,52.1077279731
6,3537577,Oroville,ORO,12/18/2016,769.35,1864970,52.7188524801
7,3537577,Oroville,ORO,12/19/2016,771.0,1881604,53.1890613264
8,3537577,Oroville,ORO,12/20/2016,772.35,1895293,53.5760211014
9,3537577,Oroville,ORO,12/21/2016,773.54,1907420,53.9188263605
10,3537577,Oroville,ORO,12/22/2016,774.59,1918167,54.222621868
11,3537577,Oroville,ORO,12/23/2016,775.71,1929679,54.5480423465
12,3537577,Oroville,ORO,12/24/2016,776.64,1939276,54.8193297277
13,3537577,Oroville,ORO,12/25/2016,777.44,1947559,55.053473041
14,3537577,Oroville,ORO,12/26/2016,778.08,1954204,55.2413134753
15,3537577,Oroville,ORO,12/27/2016,778.63,1959927,55.4030908727
16,3537577,Oroville,ORO,12/28/2016,779.17,1965558,55.5622676199
17,3537577,Oroville,ORO,12/29/2016,779.71,1971201,55.7217835824
18,3537577,Oroville,ORO,12/30/2016,780.2,1976332,55.8668263617
19,3537577,Oroville,ORO,12/31/2016,780.7,1981577,56.0150916856
20,3537577,Oroville,ORO,01/01/2017,781.15,1986306,56.1487707547
21,3537577,Oroville,ORO,01/02/2017,781.63,1991359,56.2916086349
22,3537577,Oroville,ORO,01/03/2017,782.41,1999590,56.5242820156
23,3537577,Oroville,ORO,01/04/2017,784.46,2021342,57.1391661581
24,3537577,Oroville,ORO,01/05/2017,786.3,2041008,57.6950833862
25,3537577,Oroville,ORO,01/06/2017,787.64,2055416,58.1023678071
26,3537577,Oroville,ORO,01/07/2017,789.4,2074450,58.6404196997
27,3537577,Oroville,ORO,01/08/2017,805.52,2254644,63.7341321475
28,3537577,Oroville,ORO,01/09/2017,820.67,2433696,68.7955626125
29,3537577,Oroville,ORO,01/10/2017,834.62,2607254,73.7016890374
30,3537577,Oroville,ORO,01/11/2017,844.75,2738549,77.413127686
31,2447650,Trinity,CLE,12/12/2016,2269.74,1136092,46.4156231487
32,2447650,Trinity,CLE,12/13/2016,2270.16,1140190,46.583049047
33,2447650,Trinity,CLE,12/14/2016,2271.24,1150784,47.0158723674
34,2447650,Trinity,CLE,12/15/2016,2275.46,1192888,48.7360529487
35,2447650,Trinity,CLE,12/16/2016,2277.16,1210168,49.4420362388
36,2447650,Trinity,CLE,12/17/2016,2278.1,1219804,49.8357199763
37,2447650,Trinity,CLE,12/18/2016,2278.75,1226504,50.1094519233
38,2447650,Trinity,CLE,12/19/2016,2279.28,1231986,50.3334218536
39,2447650,Trinity,CLE,12/20/2016,2279.65,1235824,50.4902253182
40,2447650,Trinity,CLE,12/21/2016,2279.98,1239248,50.6301145997
41,2447650,Trinity,CLE,12/22/2016,2280.22,1241752,50.732416808
42,2447650,Trinity,CLE,12/23/2016,2280.6,1245721,50.8945723449
43,2447650,Trinity,CLE,12/24/2016,2280.85,1248332,51.0012460932
44,2447650,Trinity,CLE,12/25/2016,2281.12,1251160,51.1167854881
45,2447650,Trinity,CLE,12/26/2016,2281.33,1253369,51.2070353196
46,2447650,Trinity,CLE,12/27/2016,2281.52,1255367,51.2886646375
47,2447650,Trinity,CLE,12/28/2016,2281.65,1256734,51.3445141258
48,2447650,Trinity,CLE,12/29/2016,2281.79,1258206,51.4046534431
49,2447650,Trinity,CLE,12/30/2016,2281.94,1259784,51.4691234449
50,2447650,Trinity,CLE,12/31/2016,2282.1,1261474,51.5381692644
51,2447650,Trinity,CLE,01/01/2017,2282.24,1262957,51.5987579924
52,2447650,Trinity,CLE,01/02/2017,2282.42,1264863,51.6766286029
53,2447650,Trinity,CLE,01/03/2017,2282.63,1267087,51.7674912671
54,2447650,Trinity,CLE,01/04/2017,2282.76,1268464,51.8237493106
55,2447650,Trinity,CLE,01/05/2017,2282.88,1269735,51.8756766695
56,2447650,Trinity,CLE,01/06/2017,2282.96,1270582,51.9102812902
57,2447650,Trinity,CLE,01/07/2017,2283.21,1273246,52.0191203808
58,2447650,Trinity,CLE,01/08/2017,2285.4,1296739,52.9789389823
59,2447650,Trinity,CLE,01/09/2017,2287.59,1320592,53.953465569
60,2447650,Trinity,CLE,01/10/2017,2289.14,1337690,54.6520131555
61,2447650,Trinity,CLE,01/11/2017,2290.29,1350499,55.1753314404
