,Capacity,Dam Name,Dam_ABBR,Date,RES ELE,STORAGE,Percent%
0,2447650.0,Trinity,CLE,2018-02-27,2325.59,1785672.0,72.9545482401
1,14660.0,Lewiston,LEW,2018-02-27,1901.66,14405.0,98.2605729877
2,,,LPY,2018-02-27,1884.85,31788.0,
3,,,VAR,2018-02-27,1505.66,206.0,
4,122400.0,Coyote Valley,COY,2018-02-27,733.22,61397.0,50.1609477124
5,381000.0,Warm Springs,WRS,2018-02-27,434.56,204058.0,53.5585301837
6,77100.0,Del Valle,DLV,2018-02-27,680.17,25871.0,33.5551232166
7,100000.0,Calaveras,CVE,2018-02-27,683.31,,
8,205000.0,Cachuma,CCH,2018-02-27,701.8,75090.0,36.6292682927
9,180000.0,Pyramid,PYM,2018-02-27,2575.62,166847.0,92.6927777778
10,325000.0,Castaic,CAS,2018-02-27,1484.67,260009.0,80.0027692308
11,131452.0,Perris,PRR,2018-02-27,1562.97,74423.0,56.6161032164
12,,Prado,PRA,2018-02-27,483.36,,
13,4552000.0,Shasta,SHA,2018-02-27,1025.1,3411127.0,74.9368848858
14,,,SPC,2018-02-27,721.65,1246.0,
15,23772.0,Keswick,KES,2018-02-27,580.79,19979.0,84.0442537439
16,241100.0,Whiskeytown,WHI,2018-02-27,1198.62,206036.0,85.4566569888
17,143700.0,Black Butte Rereg,BLB,2018-02-27,443.26,38048.0,26.4773834377
18,22566.0,Antelope,ANT,2018-02-27,4996.19,17526.0,77.6655144908
19,83000.0,Grizzly Valley,DAV,2018-02-27,5771.05,69270.0,83.4578313253
20,55477.0,Frenchman,FRD,2018-02-27,5580.55,44470.0,80.1593453143
21,3537577.0,Oroville,ORO,2018-02-27,725.3,1458033.0,41.2155834347
22,57041.0,Thermalito,TAB,2018-02-27,133.24,43759.0,76.7149944777
23,966000.0,New Bullards Bar,BUL,2018-02-27,1912.07,770009.0,79.7110766046
24,70000.0,Englebright Narrows,ENG,2018-02-27,523.39,67067.0,95.81
25,104500.0,Camp Far West,CFW,2018-02-27,299.5,,
26,,,GLL,2018-02-27,5224.34,538.0,
27,,,BIL,2018-02-27,6427.24,568.0,
28,69306.0,Loon Lake,LON,2018-02-27,6386.02,39650.0,57.2100539636
29,,,RBL,2018-02-27,6534.34,470.0,
30,266369.0,Union Valley,UNV,2018-02-27,4831.47,169518.0,63.640288472
31,,,JNC,2018-02-27,4447.54,2454.0,
32,,,CMI,2018-02-27,2902.33,342.0,
33,43496.0,Ice House,ICH,2018-02-27,5424.94,28188.0,64.8059591687
34,,,BHC,2018-02-27,2910.17,1254.0,
35,16600.0,Slab Creek,SLB,2018-02-27,1848.41,12763.0,76.8855421687
36,22340.0,Caples,CPL,2018-02-27,,13882.0,62.139659803
37,977000.0,Folsom,FOL,2018-02-27,420.15,529222.0,54.1680655067
38,8640.0,Silver,SIV,2018-02-27,,1923.0,22.2569444444
39,9000.0,Natoma,NAT,2018-02-27,123.57,8059.0,89.5444444444
40,300000.0,Indian Valley,INV,2018-02-27,1466.7,231320.0,77.1066666667
41,210000.0,Pardee Reservoir,PAR,2018-02-27,559.21,185520.0,88.3428571429
42,417120.0,Camanche,CMN,2018-02-27,219.16,303310.0,72.7152857691
43,317000.0,New Hogan,NHG,2018-02-27,668.45,158632.0,50.0416403785
44,52000.0,Farmington,FRM,2018-02-27,124.63,191.0,0.367307692308
45,64320.0,Donnells,DON,2018-02-27,,11220.0,17.4440298507
46,97800.0,Beardsley,BRD,2018-02-27,,35745.0,36.5490797546
47,18312.0,Main Strawberry,SWB,2018-02-27,5581.18,8851.0,48.3344255133
48,2400000.0,New Melones,NML,2018-02-27,1045.23,1923032.0,80.1263333333
49,67000.0,Tulloch,TUL,2018-02-27,492.24,47436.0,70.8
50,,,GDW,2018-02-27,360.64,582.0,
51,273500.0,Cherry Valley,CHV,2018-02-27,,47968.0,17.5385740402
52,360000.0,O Shanessey,HTH,2018-02-27,,289095.0,80.3041666667
53,2030000.0,Don Pedro,DNP,2018-02-27,800.32,1672350.0,82.381773399
54,1024600.0,New Exchequer,EXC,2018-02-27,810.05,676642.0,66.0396252196
55,,,BAR,2018-02-27,344.68,2.0,
56,,,MAR,2018-02-27,371.2,106.0,
57,,,OWN,2018-02-27,350.22,1.0,
58,150000.0,Buchanan,BUC,2018-02-27,547.64,88778.0,59.1853333333
59,90000.0,Hidden,HID,2018-02-27,481.06,21341.0,23.7122222222
60,520500.0,Friant,MIL,2018-02-27,533.84,329228.0,63.2522574448
61,2041000.0,San Luis,SNL,2018-02-27,503.22,1544775.0,75.6871631553
62,1000000.0,Pine Flat,PNF,2018-02-27,856.7,524712.0,52.4712
63,185600.0,Terminus,TRM,2018-02-27,613.43,29751.0,16.0296336207
64,82300.0,Success,SCC,2018-02-27,606.08,16341.0,19.8554070474
65,568000.0,Isabella,ISB,2018-02-27,2560.77,172101.0,30.299471831
66,226500.0,Stampede,STP,2018-02-27,5942.08,204435.0,90.2582781457
67,17295.0,Independence,INP,2018-02-27,6945.17,14660.0,84.7643827696
68,40870.0,Boca,BOC,2018-02-27,5593.32,30249.0,74.0127232689
69,29800.0,Prosser,PRS,2018-02-27,5701.88,9225.0,30.9563758389
70,9700.0,Donner,DNN,2018-02-27,5928.36,3390.0,34.9484536082
71,20400.0,Martis Creek Reservoir,MRT,2018-02-27,5781.46,,
